parnme,partrans,parval1,pargp,comments
bhead_mult_1,none,1.0,ghb_bhead,#
bhead_mult_2,none,1.0,ghb_bhead,#
bhead_mult_3,none,1.0,ghb_bhead,#
bhead_mult_4,none,1.0,ghb_bhead,#
bhead_mult_5,none,1.0,ghb_bhead,#
bhead_mult_6,none,1.0,ghb_bhead,#
bhead_mult_7,none,1.0,ghb_bhead,#
carea_max_mult_01,none,1.0,prms_carea_max,#
carea_max_mult_02,none,1.0,prms_carea_max,#
carea_max_mult_03,none,1.0,prms_carea_max,#
carea_max_mult_04,none,1.0,prms_carea_max,#
carea_max_mult_05,none,1.0,prms_carea_max,#
carea_max_mult_06,none,1.0,prms_carea_max,#
carea_max_mult_07,none,1.0,prms_carea_max,#
carea_max_mult_08,none,1.0,prms_carea_max,#
carea_max_mult_09,none,1.0,prms_carea_max,#
carea_max_mult_10,none,1.0,prms_carea_max,#
carea_max_mult_11,none,1.0,prms_carea_max,#
carea_max_mult_12,none,1.0,prms_carea_max,#
carea_max_mult_13,none,1.0,prms_carea_max,#
carea_max_mult_14,none,1.0,prms_carea_max,#
carea_max_mult_15,none,1.0,prms_carea_max,#
carea_max_mult_16,none,1.0,prms_carea_max,#
carea_max_mult_17,none,1.0,prms_carea_max,#
carea_max_mult_18,none,1.0,prms_carea_max,#
carea_max_mult_19,none,1.0,prms_carea_max,#
carea_max_mult_20,none,1.0,prms_carea_max,#
carea_max_mult_21,none,1.0,prms_carea_max,#
carea_max_mult_22,none,1.0,prms_carea_max,#
covden_win_mult_01,none,1.0,prms_covden_win,#
covden_win_mult_02,none,1.0,prms_covden_win,#
covden_win_mult_03,none,1.0,prms_covden_win,#
covden_win_mult_04,none,1.0,prms_covden_win,#
covden_win_mult_05,none,1.0,prms_covden_win,#
covden_win_mult_06,none,1.0,prms_covden_win,#
covden_win_mult_07,none,1.0,prms_covden_win,#
covden_win_mult_08,none,1.0,prms_covden_win,#
covden_win_mult_09,none,1.0,prms_covden_win,#
covden_win_mult_10,none,1.0,prms_covden_win,#
covden_win_mult_11,none,1.0,prms_covden_win,#
covden_win_mult_12,none,1.0,prms_covden_win,#
covden_win_mult_13,none,1.0,prms_covden_win,#
covden_win_mult_14,none,1.0,prms_covden_win,#
covden_win_mult_15,none,1.0,prms_covden_win,#
covden_win_mult_16,none,1.0,prms_covden_win,#
covden_win_mult_17,none,1.0,prms_covden_win,#
covden_win_mult_18,none,1.0,prms_covden_win,#
covden_win_mult_19,none,1.0,prms_covden_win,#
covden_win_mult_20,none,1.0,prms_covden_win,#
covden_win_mult_21,none,1.0,prms_covden_win,#
covden_win_mult_22,none,1.0,prms_covden_win,#
extdp,none,0.01013541,uzf_extdp,#
jh_coef_mult_01_01,none,1.0,prms_jh_coef,#
jh_coef_mult_01_02,none,1.0,prms_jh_coef,#
jh_coef_mult_01_03,none,1.0,prms_jh_coef,#
jh_coef_mult_01_04,none,1.0,prms_jh_coef,#
jh_coef_mult_01_05,none,1.0,prms_jh_coef,#
jh_coef_mult_01_06,none,1.0,prms_jh_coef,#
jh_coef_mult_01_07,none,1.0,prms_jh_coef,#
jh_coef_mult_01_08,none,1.0,prms_jh_coef,#
jh_coef_mult_01_09,none,1.0,prms_jh_coef,#
jh_coef_mult_01_10,none,1.0,prms_jh_coef,#
jh_coef_mult_01_11,none,1.0,prms_jh_coef,#
jh_coef_mult_01_12,none,1.0,prms_jh_coef,#
jh_coef_mult_01_13,none,1.0,prms_jh_coef,#
